User 3: 0.7358491 accuracy; in the following cases: 
0.412963 precision; 0.3984127 recall; 1.0 treshold; 2.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.55 treshold; 2.0wc; [0.1, 0.9, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.55 treshold; 2.0wc; [0.2, 0.8, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.55 treshold; 2.0wc; [0.3, 0.7, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.55 treshold; 2.0wc; [0.4, 0.6, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.55 treshold; 2.0wc; [0.5, 0.5, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.55 treshold; 2.0wc; [0.6, 0.4, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.55 treshold; 2.0wc; [0.7, 0.3, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.55 treshold; 2.0wc; [0.8, 0.2, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.55 treshold; 2.0wc; [0.9, 0.1, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.55 treshold; 2.0wc; [1.0, 0.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.5 treshold; 2.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.5 treshold; 2.0wc; [0.1, 0.9, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.5 treshold; 2.0wc; [0.2, 0.8, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.5 treshold; 2.0wc; [0.3, 0.7, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.5 treshold; 2.0wc; [0.4, 0.6, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.5 treshold; 2.0wc; [0.5, 0.5, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.5 treshold; 2.0wc; [0.6, 0.4, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.5 treshold; 2.0wc; [0.7, 0.3, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.5 treshold; 2.0wc; [0.8, 0.2, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.5 treshold; 2.0wc; [0.9, 0.1, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.5 treshold; 2.0wc; [1.0, 0.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.45 treshold; 2.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.45 treshold; 2.0wc; [0.1, 0.9, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.45 treshold; 2.0wc; [0.2, 0.8, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.45 treshold; 2.0wc; [0.3, 0.7, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.45 treshold; 2.0wc; [0.4, 0.6, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.45 treshold; 2.0wc; [0.5, 0.5, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.45 treshold; 2.0wc; [0.6, 0.4, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.45 treshold; 2.0wc; [0.7, 0.3, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.45 treshold; 2.0wc; [0.8, 0.2, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.45 treshold; 2.0wc; [0.9, 0.1, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.45 treshold; 2.0wc; [1.0, 0.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.4 treshold; 2.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.4 treshold; 2.0wc; [0.1, 0.9, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.4 treshold; 2.0wc; [0.2, 0.8, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.4 treshold; 2.0wc; [0.3, 0.7, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.4 treshold; 2.0wc; [0.4, 0.6, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.4 treshold; 2.0wc; [0.5, 0.5, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.4 treshold; 2.0wc; [0.6, 0.4, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.4 treshold; 2.0wc; [0.7, 0.3, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.4 treshold; 2.0wc; [0.8, 0.2, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.4 treshold; 2.0wc; [0.9, 0.1, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.4 treshold; 2.0wc; [1.0, 0.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.35 treshold; 2.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.35 treshold; 2.0wc; [0.1, 0.9, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.35 treshold; 2.0wc; [0.2, 0.8, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.35 treshold; 2.0wc; [0.3, 0.7, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.35 treshold; 2.0wc; [0.4, 0.6, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.35 treshold; 2.0wc; [0.5, 0.5, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.35 treshold; 2.0wc; [0.6, 0.4, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.35 treshold; 2.0wc; [0.7, 0.3, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.35 treshold; 2.0wc; [0.8, 0.2, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.35 treshold; 2.0wc; [0.9, 0.1, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.35 treshold; 2.0wc; [1.0, 0.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.3 treshold; 2.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.3 treshold; 2.0wc; [0.1, 0.9, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.3 treshold; 2.0wc; [0.2, 0.8, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.3 treshold; 2.0wc; [0.3, 0.7, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.3 treshold; 2.0wc; [0.4, 0.6, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.3 treshold; 2.0wc; [0.5, 0.5, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.3 treshold; 2.0wc; [0.6, 0.4, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.3 treshold; 2.0wc; [0.7, 0.3, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.3 treshold; 2.0wc; [0.8, 0.2, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.3 treshold; 2.0wc; [0.9, 0.1, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.3 treshold; 2.0wc; [1.0, 0.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.25 treshold; 2.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.25 treshold; 2.0wc; [0.1, 0.9, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.25 treshold; 2.0wc; [0.2, 0.8, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.25 treshold; 2.0wc; [0.3, 0.7, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.25 treshold; 2.0wc; [0.4, 0.6, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.25 treshold; 2.0wc; [0.5, 0.5, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.25 treshold; 2.0wc; [0.6, 0.4, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.25 treshold; 2.0wc; [0.7, 0.3, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.25 treshold; 2.0wc; [0.8, 0.2, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.25 treshold; 2.0wc; [0.9, 0.1, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.25 treshold; 2.0wc; [1.0, 0.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.2 treshold; 2.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.2 treshold; 2.0wc; [0.1, 0.9, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.2 treshold; 2.0wc; [0.2, 0.8, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.2 treshold; 2.0wc; [0.3, 0.7, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.2 treshold; 2.0wc; [0.4, 0.6, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.2 treshold; 2.0wc; [0.5, 0.5, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.2 treshold; 2.0wc; [0.6, 0.4, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.2 treshold; 2.0wc; [0.7, 0.3, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.2 treshold; 2.0wc; [0.8, 0.2, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.2 treshold; 2.0wc; [0.9, 0.1, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.2 treshold; 2.0wc; [1.0, 0.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.15 treshold; 2.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.15 treshold; 2.0wc; [0.1, 0.9, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.15 treshold; 2.0wc; [0.2, 0.8, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.15 treshold; 2.0wc; [0.3, 0.7, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.15 treshold; 2.0wc; [0.4, 0.6, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.15 treshold; 2.0wc; [0.5, 0.5, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.15 treshold; 2.0wc; [0.6, 0.4, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.15 treshold; 2.0wc; [0.7, 0.3, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.15 treshold; 2.0wc; [0.8, 0.2, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.15 treshold; 2.0wc; [0.9, 0.1, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.15 treshold; 2.0wc; [1.0, 0.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.1 treshold; 2.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.1 treshold; 2.0wc; [0.1, 0.9, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.1 treshold; 2.0wc; [0.2, 0.8, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.1 treshold; 2.0wc; [0.3, 0.7, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.1 treshold; 2.0wc; [0.4, 0.6, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.1 treshold; 2.0wc; [0.5, 0.5, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.1 treshold; 2.0wc; [0.6, 0.4, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.1 treshold; 2.0wc; [0.7, 0.3, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.1 treshold; 2.0wc; [0.8, 0.2, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.1 treshold; 2.0wc; [0.9, 0.1, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.1 treshold; 2.0wc; [1.0, 0.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.05 treshold; 2.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.05 treshold; 2.0wc; [0.1, 0.9, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.05 treshold; 2.0wc; [0.2, 0.8, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.05 treshold; 2.0wc; [0.3, 0.7, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.05 treshold; 2.0wc; [0.4, 0.6, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.05 treshold; 2.0wc; [0.5, 0.5, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.05 treshold; 2.0wc; [0.6, 0.4, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.05 treshold; 2.0wc; [0.7, 0.3, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.05 treshold; 2.0wc; [0.8, 0.2, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.05 treshold; 2.0wc; [0.9, 0.1, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.05 treshold; 2.0wc; [1.0, 0.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.0 treshold; 2.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.0 treshold; 2.0wc; [0.1, 0.9, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.0 treshold; 2.0wc; [0.2, 0.8, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.0 treshold; 2.0wc; [0.3, 0.7, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.0 treshold; 2.0wc; [0.4, 0.6, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.0 treshold; 2.0wc; [0.5, 0.5, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.0 treshold; 2.0wc; [0.6, 0.4, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.0 treshold; 2.0wc; [0.7, 0.3, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.0 treshold; 2.0wc; [0.8, 0.2, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.0 treshold; 2.0wc; [0.9, 0.1, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.0 treshold; 2.0wc; [1.0, 0.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 1.0 treshold; 2.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 1.0 treshold; 2.0wc; [0.1, 0.9, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 1.0 treshold; 2.0wc; [0.2, 0.8, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 1.0 treshold; 2.0wc; [0.3, 0.7, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 1.0 treshold; 2.0wc; [0.4, 0.6, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 1.0 treshold; 2.0wc; [0.5, 0.5, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 1.0 treshold; 2.0wc; [0.6, 0.4, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 1.0 treshold; 2.0wc; [0.7, 0.3, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 1.0 treshold; 2.0wc; [0.8, 0.2, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 1.0 treshold; 2.0wc; [0.9, 0.1, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 1.0 treshold; 2.0wc; [1.0, 0.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.95 treshold; 2.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.95 treshold; 2.0wc; [0.1, 0.9, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.95 treshold; 2.0wc; [0.2, 0.8, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.95 treshold; 2.0wc; [0.3, 0.7, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.95 treshold; 2.0wc; [0.4, 0.6, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.95 treshold; 2.0wc; [0.5, 0.5, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.95 treshold; 2.0wc; [0.6, 0.4, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.95 treshold; 2.0wc; [0.7, 0.3, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.95 treshold; 2.0wc; [0.8, 0.2, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.95 treshold; 2.0wc; [0.9, 0.1, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.95 treshold; 2.0wc; [1.0, 0.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.9 treshold; 2.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.9 treshold; 2.0wc; [0.1, 0.9, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.9 treshold; 2.0wc; [0.2, 0.8, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.9 treshold; 2.0wc; [0.3, 0.7, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.9 treshold; 2.0wc; [0.4, 0.6, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.9 treshold; 2.0wc; [0.5, 0.5, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.9 treshold; 2.0wc; [0.6, 0.4, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.9 treshold; 2.0wc; [0.7, 0.3, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.9 treshold; 2.0wc; [0.8, 0.2, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.9 treshold; 2.0wc; [0.9, 0.1, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.9 treshold; 2.0wc; [1.0, 0.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.85 treshold; 2.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.85 treshold; 2.0wc; [0.1, 0.9, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.85 treshold; 2.0wc; [0.2, 0.8, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.85 treshold; 2.0wc; [0.3, 0.7, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.85 treshold; 2.0wc; [0.4, 0.6, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.85 treshold; 2.0wc; [0.5, 0.5, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.85 treshold; 2.0wc; [0.6, 0.4, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.85 treshold; 2.0wc; [0.7, 0.3, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.85 treshold; 2.0wc; [0.8, 0.2, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.85 treshold; 2.0wc; [0.9, 0.1, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.85 treshold; 2.0wc; [1.0, 0.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.8 treshold; 2.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.8 treshold; 2.0wc; [0.1, 0.9, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.8 treshold; 2.0wc; [0.2, 0.8, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.8 treshold; 2.0wc; [0.3, 0.7, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.8 treshold; 2.0wc; [0.4, 0.6, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.8 treshold; 2.0wc; [0.5, 0.5, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.8 treshold; 2.0wc; [0.6, 0.4, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.8 treshold; 2.0wc; [0.7, 0.3, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.8 treshold; 2.0wc; [0.8, 0.2, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.8 treshold; 2.0wc; [0.9, 0.1, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.8 treshold; 2.0wc; [1.0, 0.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.75 treshold; 2.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.75 treshold; 2.0wc; [0.1, 0.9, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.75 treshold; 2.0wc; [0.2, 0.8, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.75 treshold; 2.0wc; [0.3, 0.7, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.75 treshold; 2.0wc; [0.4, 0.6, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.75 treshold; 2.0wc; [0.5, 0.5, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.75 treshold; 2.0wc; [0.6, 0.4, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.75 treshold; 2.0wc; [0.7, 0.3, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.75 treshold; 2.0wc; [0.8, 0.2, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.75 treshold; 2.0wc; [0.9, 0.1, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.75 treshold; 2.0wc; [1.0, 0.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.7 treshold; 2.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.7 treshold; 2.0wc; [0.1, 0.9, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.7 treshold; 2.0wc; [0.2, 0.8, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.7 treshold; 2.0wc; [0.3, 0.7, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.7 treshold; 2.0wc; [0.4, 0.6, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.7 treshold; 2.0wc; [0.5, 0.5, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.7 treshold; 2.0wc; [0.6, 0.4, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.7 treshold; 2.0wc; [0.7, 0.3, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.7 treshold; 2.0wc; [0.8, 0.2, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.7 treshold; 2.0wc; [0.9, 0.1, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.7 treshold; 2.0wc; [1.0, 0.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.65 treshold; 2.0wc; [0.0, 1.0, 0.0, 0.0, 0.0] as factor vector
0.4868687 precision; 0.37416905 recall; 0.65 treshold; 2.0wc; [0.1, 0.9, 0.0, 0.0, 0.0] as factor vector
